state,year,college,beer,primary,secondary,population,unemploy,fatalities,totalvmt,precip,snow32,rural_speed,urban_speed
AL,1981,.1314241,1,0,0,3918.533,10.7,937,27852,4.2174997,0,55,55
AL,1982,.13471727,1,0,0,3925.263,14.4,839,28516,5.6199999,0,55,55
AL,1983,.13793863,1.01,0,0,3934.1,13.7,944,31032,6.3416667,0,55,55
AL,1984,.14600676,1.02,0,0,3951.824,11.1,940,32961,4.1883335,0,55,55
AL,1985,.1590576,1.0599999,0,0,3972.52,8.8999996,881,35091,4.3649998,0,55,55
AL,1986,.16725934,1.09,0,0,3991.569,9.8000002,1081,34003,4.0058331,0,55,55
AL,1987,.16777046,1.1,0,0,4015.262,7.8000002,1110,37426,4.6583333,0,55,55
AL,1988,.15552136,1.1,0,0,4023.842,7.1999998,1023,39684,4.3916669,0,65,55
AL,1989,.1450119,1.1,0,0,4030.219,7,1029,40765,5.5924997,0,65,55
AL,1990,.13948877,1.12,0,0,4050.055,6.9000001,1118,42347,5.3199997,0,65,55
AL,1991,.142965,1,0,0,4099.156,7.1999998,1112,42924,5.7266665,0,65,55
AL,1992,.15019484,1.02,0,0,4154.014,7.4000001,1031,45762,5.3416667,0,65,55
AL,1993,.1561411,1.14,0,1,4214.202,7.5999999,1042,47337,4.2841668,0,65,55
AL,1994,.16175006,1.16,0,1,4260.229,6,1083,48956,5.1683335,0,65,55
AL,1995,.17034413,1.14,0,1,4296.8,6.3000002,1113,50628,4.8458333,0,65,55
AL,1996,.18020047,1.17,0,1,4331.102,5.0999999,1146,51433,5.1149998,0,70,65
AL,1997,.19382431,1.14,0,1,4367.935,5.0999999,1189,53458,5.4983335,0,70,65
AL,1998,.20299086,1.16,0,1,4404.701,4.1999998,1071,55205,5.5291667,0,70,65
AL,1999,.20821047,1.1799999,0,1,4430.141,4.8000002,1138,56165,4.1141667,0,70,65
AL,2000,.20686944,1.1900001,1,0,4452.339,4.5,995,56534,3.7375,0,70,65
AL,2001,.20996657,1.16,1,0,4467.461,5.3000002,994,56769,5.1016665,0,70,65
AL,2002,.2136116,1.1799999,1,0,4480.139,5.9000001,1033,57515,4.6374998,0,70,65
AL,2003,.22034423,1.1799999,1,0,4501.862,5.8000002,1001,58637,5.9041667,0,70,65
AR,1981,.13382,1.0599999,0,0,2293.204,9.1000004,535,16770,3.3491666,0,55,55
AR,1982,.13068697,1.03,0,0,2294.254,9.8000002,548,16630,4.6574998,0,55,55
AR,1983,.1316793,1.03,0,0,2305.766,10.1,557,16684,3.8833334,.54250002,55,55
AR,1984,.13784464,1.02,0,0,2319.767,8.8999996,512,16621,4.3724999,0,55,55
AR,1985,.14084183,1.03,0,0,2327.046,8.6999998,535,17112,3.8824999,0,55,55
AR,1986,.14412583,1.0599999,0,0,2331.988,8.6999998,602,17555,3.6608334,0,55,55
AR,1987,.14704743,1.08,0,0,2342.357,8.1000004,639,18306,4.7800002,0,55,55
AR,1988,.14577387,1.0700001,0,0,2342.655,7.6999998,610,19219,3.7591667,0,65,55
AR,1989,.14397116,1.08,0,0,2346.354,7.1999998,647,20414,4.9141665,0,65,55
AR,1990,.13893443,1.12,0,0,2356.586,7,604,21011,5.5758333,0,65,55
AR,1991,.14200971,1.12,0,0,2383.144,7.4000001,608,21934,4.7941666,0,65,55
AR,1992,.14681733,1.13,0,1,2415.984,7.3000002,588,23081,4.1183333,0,65,55
AR,1993,.15172364,1.1,0,1,2456.303,6.1999998,583,23995,4.0974998,0,65,55
AR,1994,.15447277,1.0599999,0,1,2494.019,5.3000002,610,24948,4.5108333,0,65,55
AR,1995,.15368637,1.08,0,1,2535.399,4.9000001,631,26653,3.4858334,0,65,55
AR,1996,.15348637,1.1,0,1,2572.109,5.4000001,615,27809,4.0866666,0,65,55
AR,1997,.15549913,1.08,0,1,2601.09,5.3000002,660,28076,4.4308333,0,70,55
AR,1998,.165144,1.1,0,1,2626.289,5.5,625,28346,4.0025001,0,70,55
AR,1999,.1756954,1.09,0,1,2651.86,4.5,604,29247,3.5208333,0,70,55
AR,2000,.18044207,1.09,0,1,2678.511,4.4000001,652,29167,3.8599999,.32333335,70,55
AR,2001,.1788061,1.0599999,0,1,2691.581,5,611,29433,4.8733335,0,70,55
AR,2002,.17826603,1.0700001,0,1,2706.606,5.4000001,640,30080,4.2533331,0,70,55
AR,2003,.18189077,1.0599999,0,1,2726.166,6.1999998,627,30639,4.0349998,0,70,55
AZ,1981,.24583019,1.78,0,0,2810.108,6.0999999,916,18570,1.0433333,0,55,55
AZ,1982,.24362963,1.74,0,0,2889.86,9.8999996,724,19729,1.4975001,0,55,55
AZ,1983,.24214317,1.62,0,0,2968.924,9.1000004,675,19611,1.5825,0,55,55
AZ,1984,.23945864,1.5700001,0,0,3067.134,5,869,20613,1.2808334,0,55,55
AZ,1985,.23810157,1.67,0,0,3183.539,6.5,893,21580,1.1866666,0,55,55
AZ,1986,.23412921,1.77,0,0,3308.261,6.9000001,1004,22665,1.2258333,0,55,55
AZ,1987,.23488304,1.67,0,0,3437.103,6.1999998,937,31729,1.1691667,0,55,55
AZ,1988,.22533476,1.64,0,0,3535.183,6.3000002,944,34247,1.0875,0,65,55
AZ,1989,.222063,1.6799999,0,0,3622.184,5.1999998,879,34816,.60500002,0,65,55
AZ,1990,.21656904,1.59,0,0,3684.097,5.5,869,35455,1.2408334,0,65,55
AZ,1991,.22549734,1.58,0,1,3788.576,5.8000002,816,34929,1.1525,0,65,55
AZ,1992,.22622167,1.58,0,1,3915.74,7.5999999,809,35047,1.6641667,0,65,55
AZ,1993,.22252239,1.58,0,1,4065.44,6.3000002,801,37653,1.6316667,0,65,55
AZ,1994,.21712936,1.52,0,1,4245.089,6.4000001,903,38774,1.1175001,0,65,55
AZ,1995,.21779867,1.47,0,1,4432.499,5.0999999,1031,39653,1.11,0,65,55
AZ,1996,.21991853,1.52,0,1,4586.94,5.5,994,42123,.79833335,0,75,55
AZ,1997,.22306231,1.45,0,1,4736.99,4.5999999,951,43491,1.1274999,0,75,55
AZ,1998,.22612797,1.4400001,0,1,4883.342,4.0999999,980,45158,1.3358333,0,75,55
AZ,1999,.23792037,1.47,0,1,5023.823,4.4000001,1024,46924,.93833333,0,75,55
AZ,2000,.25219208,1.48,0,1,5165.993,4,1036,49768,.71333331,0,75,55
AZ,2001,.2643452,1.47,0,1,5295.929,4.6999998,1048,50860,.97666663,0,75,55
AZ,2002,.26651141,1.46,0,1,5438.159,6.1999998,1117,51334,.57333332,0,75,55
